model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.4366928683308724,-0.42513473430340476,root_mean_squared_error,2.582225799560547,0.5525782108306885,395.67853355407715,0.008039474487304688,0.0005142688751220703,0.011930704116821289,2,True,10
CatBoost,-0.43785277033376024,-0.42994901116704454,root_mean_squared_error,0.08169007301330566,0.02222299575805664,106.78860211372375,0.08169007301330566,0.02222299575805664,106.78860211372375,1,True,4
LightGBM,-0.4531160946055401,-0.4481079729877039,root_mean_squared_error,0.8625004291534424,0.3380014896392822,4.862098455429077,0.8625004291534424,0.3380014896392822,4.862098455429077,1,True,2
LightGBMLarge,-0.4538608241859469,-0.44027136793223365,root_mean_squared_error,2.4634857177734375,0.5138213634490967,10.999867677688599,2.4634857177734375,0.5138213634490967,10.999867677688599,1,True,9
XGBoost,-0.460622330150273,-0.4530145708356495,root_mean_squared_error,0.14876770973205566,0.05644392967224121,3.430973529815674,0.14876770973205566,0.05644392967224121,3.430973529815674,1,True,7
LightGBMXT,-0.47853637987859804,-0.4624926288610123,root_mean_squared_error,2.2439401149749756,0.8356976509094238,16.493266344070435,2.2439401149749756,0.8356976509094238,16.493266344070435,1,True,1
ExtraTreesMSE,-0.5179305147913134,-0.5131491723132701,root_mean_squared_error,0.5362889766693115,0.22243976593017578,12.211150884628296,0.5362889766693115,0.22243976593017578,12.211150884628296,1,True,5
RandomForestMSE,-0.5184453558644133,-0.515929839320934,root_mean_squared_error,1.4695281982421875,0.26575326919555664,57.23507809638977,1.4695281982421875,0.26575326919555664,57.23507809638977,1,True,3
NeuralNetTorch,-0.5323962565642215,-0.5070975402362226,root_mean_squared_error,0.029010534286499023,0.016019582748413086,277.878133058548,0.029010534286499023,0.016019582748413086,277.878133058548,1,True,8
NeuralNetFastAI,-0.5668433302282947,-0.5482094133858813,root_mean_squared_error,0.06500887870788574,0.036435604095458984,18.518173456192017,0.06500887870788574,0.036435604095458984,18.518173456192017,1,True,6
